student_id,attendance_percent
1,81
2,44
3,90
4,50
5,53
6,32
7,51
8,82
9,31
10,59
11,67
12,31
13,93
14,89
15,50
16,62
17,87
18,51
19,78
20,88
21,71
22,89
23,44
24,91
25,91
26,76
27,91
28,80
29,84
30,93
31,32
32,80
33,36
34,50
35,68
36,47
37,33
38,89
39,43
40,38
41,82
42,31
43,89
44,100
45,73
46,37
47,76
48,64
49,65
50,79
51,33
52,31
53,35
54,83
55,33
56,83
57,92
58,47
59,73
60,63
61,91
62,43
63,77
64,44
65,91
66,69
67,82
68,53
69,55
70,89
71,70
72,58
73,44
74,74
75,94
76,100
77,38
78,30
79,37
80,92
81,40
82,37
83,64
84,64
85,62
86,34
87,70
88,57
89,36
90,41
91,63
92,62
93,77
94,52
95,91
96,66
97,73
98,64
99,94
100,76
101,32
102,30
103,34
104,43
105,56
106,38
107,44
108,71
109,80
110,92
111,81
112,33
113,52
114,44
115,72
116,58
117,65
118,42
119,61
120,100
121,88
122,57
123,95
124,71
125,74
126,91
127,86
128,35
129,57
130,57
131,73
132,59
133,91
134,91
135,30
136,56
137,91
138,32
139,99
140,56
141,38
142,91
143,66
144,80
145,73
146,53
147,88
148,61
149,81
150,91
151,87
152,81
153,41
154,68
155,31
156,32
157,85
158,88
159,31
160,31
161,83
162,30
163,48
164,31
165,82
166,73
167,61
168,99
169,61
170,97
171,84
172,85
173,46
174,67
175,53
176,98
177,99
178,40
179,45
180,88
181,99
182,32
183,49
184,88
185,65
186,48
187,96
188,48
189,49
190,100
191,81
192,62
193,69
194,68
195,30
196,40
197,86
198,79
199,52
200,60
201,71
202,36
203,45
204,89
205,31
206,30
207,77
208,41
209,98
210,66
211,61
212,38
213,48
214,77
215,32
216,49
217,53
218,83
219,62
220,53
221,65
222,67
223,54
224,47
225,95
226,83
227,64
228,90
229,70
230,62
231,97
232,62
233,43
234,50
235,77
236,49
237,37
238,36
239,96
240,46
241,62
242,77
243,88
244,51
245,59
246,67
247,80
248,83
249,37
250,56
251,56
252,50
253,59
254,57
255,93
256,98
257,90
258,77
259,48
260,33
261,64
262,93
263,78
264,46
265,73
266,59
267,75
268,35
269,66
270,53
271,75
272,82
273,89
274,92
275,61
276,62
277,96
278,47
279,54
280,83
281,87
282,96
283,75
284,53
285,61
286,76
287,52
288,95
289,56
290,31
291,46
292,62
293,38
294,72
295,77
296,68
297,71
298,55
299,79
300,54
301,53
302,42
303,89
304,36
305,86
306,65
307,74
308,49
309,94
310,37
311,45
312,43
313,44
314,95
315,61
316,92
317,80
318,54
319,87
320,92
321,91
322,51
323,87
324,87
325,78
326,81
327,71
328,99
329,44
330,83
331,89
332,37
333,82
334,89
335,34
336,97
337,35
338,76
339,84
340,69
341,81
342,45
343,42
344,59
345,48
346,46
347,92
348,48
349,87
350,84
351,91
352,52
353,38
354,41
355,30
356,87
357,30
358,63
359,77
360,30
361,45
362,90
363,93
364,92
365,98
366,51
367,96
368,55
369,45
370,80
371,86
372,58
373,98
374,76
375,91
376,98
377,45
378,77
379,68
380,62
381,52
382,39
383,98
384,63
385,81
386,39
387,48
388,87
389,30
390,98
391,33
392,45
393,53
394,31
395,61
396,53
397,41
398,79
399,64
400,62
401,62
402,90
403,80
404,72
405,41
406,96
407,94
408,62
409,69
410,72
411,73
412,58
413,42
414,41
415,75
416,31
417,64
418,37
419,55
420,63
421,36
422,97
423,87
424,58
425,65
426,50
427,65
428,39
429,53
430,93
431,78
432,65
433,53
434,52
435,91
436,66
437,41
438,84
439,42
440,52
441,59
442,46
443,91
444,42
445,88
446,48
447,78
448,41
449,90
450,48
451,38
452,100
453,57
454,81
455,45
456,98
457,41
458,54
459,81
460,82
461,52
462,45
463,86
464,68
465,82
466,71
467,87
468,68
469,43
470,34
471,64
472,47
473,38
474,87
475,46
476,36
477,75
478,42
479,69
480,71
481,38
482,79
483,56
484,95
485,34
486,58
487,66
488,67
489,37
490,94
491,46
492,100
493,74
494,33
495,65
496,99
497,60
498,48
499,90
500,83
501,68
502,48
503,68
504,96
505,74
506,42
507,87
508,49
509,90
510,68
511,30
512,32
513,91
514,92
515,54
516,85
517,62
518,67
519,35
520,87
521,73
522,74
523,61
524,74
525,90
526,76
527,50
528,65
529,48
530,49
531,86
532,47
533,76
534,78
535,43
536,44
537,60
538,30
539,83
540,32
541,45
542,86
543,41
544,45
545,53
546,57
547,37
548,65
549,37
550,87
551,89
552,79
553,57
554,70
555,93
556,56
557,92
558,46
559,62
560,58
561,42
562,75
563,64
564,35
565,98
566,76
567,54
568,95
569,39
570,85
571,59
572,34
573,62
574,94
575,47
576,78
577,40
578,55
579,92
580,88
581,56
582,78
583,62
584,30
585,50
586,84
587,35
588,98
589,34
590,32
591,82
592,52
593,82
594,66
595,46
596,30
597,80
598,74
599,33
600,91
601,94
602,61
603,63
604,68
605,55
606,63
607,83
608,32
609,79
610,41
611,94
612,83
613,34
614,86
615,46
616,76
617,52
618,43
619,95
620,80
621,67
622,93
623,67
624,79
625,59
626,80
627,92
628,81
629,67
630,59
631,80
632,34
633,58
634,33
635,39
636,85
637,46
638,46
639,98
640,63
