student_id,fees_paid_ratio
1,0.43
2,0.56
3,0.41
4,0.7
5,0.69
6,0.9
7,0.58
8,0.89
9,0.98
10,0.45
11,0.88
12,0.75
13,0.69
14,0.65
15,0.87
16,0.78
17,0.88
18,0.94
19,0.77
20,0.99
21,0.76
22,0.78
23,0.73
24,0.45
25,0.84
26,0.73
27,0.67
28,0.95
29,0.58
30,0.71
31,0.82
32,0.88
33,0.68
34,0.91
35,0.86
36,0.44
37,0.43
38,0.77
39,0.61
40,0.53
41,0.75
42,0.6
43,0.72
44,0.68
45,0.75
46,0.64
47,0.82
48,0.51
49,0.82
50,0.65
51,0.92
52,0.71
53,0.98
54,0.76
55,0.53
56,0.89
57,0.61
58,0.61
59,0.42
60,0.73
61,0.72
62,0.61
63,0.94
64,0.48
65,0.6
66,0.59
67,0.46
68,0.69
69,0.81
70,0.71
71,0.49
72,0.63
73,0.4
74,0.92
75,0.45
76,0.76
77,0.99
78,0.72
79,0.95
80,0.54
81,0.86
82,0.72
83,0.83
84,0.44
85,0.49
86,0.48
87,0.81
88,0.91
89,0.85
90,0.42
91,0.92
92,0.61
93,0.64
94,0.46
95,0.84
96,0.51
97,0.74
98,0.9
99,0.45
100,0.72
101,0.54
102,0.61
103,0.68
104,0.61
105,0.79
106,0.69
107,0.75
108,0.84
109,0.73
110,0.75
111,0.74
112,0.63
113,0.6
114,0.94
115,0.76
116,0.55
117,0.7
118,0.6
119,0.96
120,0.4
121,0.54
122,0.62
123,0.69
124,0.91
125,0.45
126,0.88
127,0.43
128,0.91
129,0.43
130,0.41
131,0.82
132,1
133,0.94
134,0.75
135,0.95
136,0.4
137,0.99
138,0.69
139,0.83
140,0.89
141,0.83
142,0.72
143,0.69
144,0.9
145,0.52
146,0.98
147,0.83
148,0.52
149,0.84
150,0.72
151,0.82
152,0.86
153,0.45
154,0.7
155,0.96
156,0.59
157,0.76
158,0.62
159,0.67
160,0.73
161,0.73
162,0.52
163,0.81
164,0.45
165,0.48
166,0.4
167,0.47
168,0.68
169,0.76
170,0.88
171,0.46
172,0.91
173,0.85
174,0.65
175,0.96
176,0.99
177,0.52
178,0.63
179,0.96
180,0.83
181,0.43
182,0.87
183,0.9
184,0.85
185,0.88
186,0.9
187,0.51
188,0.54
189,0.78
190,0.94
191,0.59
192,0.75
193,0.81
194,0.67
195,0.83
196,0.94
197,0.77
198,0.72
199,0.66
200,0.75
201,0.61
202,0.63
203,0.72
204,0.44
205,0.54
206,0.73
207,0.66
208,0.6
209,0.84
210,0.82
211,0.5
212,0.93
213,0.7
214,0.84
215,0.74
216,1
217,0.85
218,0.82
219,0.87
220,0.49
221,0.52
222,0.83
223,0.7
224,0.85
225,0.46
226,0.72
227,0.63
228,0.67
229,0.76
230,0.7
231,0.72
232,0.69
233,0.65
234,0.86
235,0.41
236,0.76
237,0.74
238,0.83
239,0.76
240,0.9
241,0.98
242,0.61
243,0.54
244,0.65
245,0.57
246,0.77
247,0.95
248,0.48
249,0.46
250,0.55
251,0.84
252,0.76
253,0.46
254,0.95
255,0.87
256,0.41
257,0.79
258,0.86
259,0.62
260,0.44
261,0.45
262,0.46
263,0.9
264,0.95
265,0.47
266,0.54
267,0.5
268,0.51
269,0.9
270,0.6
271,0.59
272,0.54
273,0.76
274,0.63
275,0.85
276,0.52
277,0.87
278,0.76
279,0.47
280,0.65
281,0.92
282,0.95
283,0.68
284,0.69
285,0.95
286,0.75
287,0.42
288,0.95
289,0.55
290,0.75
291,0.5
292,0.42
293,0.59
294,0.87
295,0.57
296,0.53
297,0.53
298,0.71
299,0.99
300,0.68
301,0.73
302,0.92
303,0.72
304,0.51
305,0.58
306,0.59
307,0.64
308,0.66
309,0.88
310,0.61
311,0.68
312,0.77
313,0.63
314,0.9
315,0.75
316,0.58
317,0.83
318,0.72
319,0.72
320,0.69
321,0.7
322,0.86
323,0.46
324,0.6
325,0.45
326,0.85
327,0.56
328,0.94
329,0.72
330,0.88
331,0.99
332,0.9
333,0.92
334,0.64
335,0.73
336,0.55
337,0.52
338,0.7
339,0.76
340,0.6
341,0.74
342,0.93
343,0.73
344,0.83
345,0.88
346,0.99
347,0.76
348,0.88
349,0.98
350,0.97
351,0.48
352,0.64
353,0.59
354,0.45
355,0.78
356,0.84
357,0.91
358,0.47
359,0.93
360,0.79
361,0.82
362,0.95
363,0.77
364,0.6
365,0.9
366,0.62
367,0.42
368,0.9
369,0.61
370,0.86
371,0.62
372,0.92
373,0.53
374,0.98
375,0.87
376,0.47
377,0.74
378,0.99
379,0.68
380,0.51
381,0.69
382,0.71
383,0.85
384,0.82
385,0.64
386,0.53
387,0.79
388,0.65
389,0.48
390,0.94
391,0.81
392,0.81
393,0.89
394,0.72
395,0.89
396,0.7
397,0.44
398,0.64
399,0.7
400,0.83
401,0.46
402,0.48
403,0.56
404,0.56
405,0.84
406,0.55
407,0.78
408,0.7
409,0.74
410,0.9
411,0.64
412,0.86
413,0.65
414,0.61
415,0.98
416,0.51
417,0.45
418,0.86
419,0.44
420,0.9
421,0.66
422,0.95
423,0.83
424,0.77
425,0.97
426,0.64
427,0.97
428,0.48
429,0.69
430,0.56
431,0.72
432,0.5
433,0.9
434,0.91
435,0.97
436,0.49
437,0.77
438,0.68
439,0.61
440,0.61
441,0.65
442,0.82
443,0.76
444,0.68
445,0.45
446,0.45
447,0.4
448,0.98
449,0.4
450,0.46
451,0.59
452,0.88
453,0.98
454,0.87
455,0.81
456,0.71
457,0.45
458,0.97
459,0.86
460,0.78
461,0.86
462,0.83
463,0.78
464,0.99
465,0.94
466,0.79
467,0.82
468,0.43
469,0.8
470,0.43
471,0.75
472,1
473,0.73
474,0.68
475,0.59
476,0.47
477,0.84
478,0.52
479,0.47
480,0.65
481,0.88
482,0.85
483,0.43
484,0.67
485,0.71
486,0.79
487,0.79
488,0.62
489,0.74
490,0.69
491,0.93
492,0.72
493,0.66
494,0.64
495,0.74
496,0.88
497,0.72
498,0.8
499,0.84
500,0.71
501,0.66
502,0.93
503,0.65
504,0.68
505,0.99
506,0.4
507,0.51
508,0.63
509,0.96
510,0.44
511,0.41
512,0.43
513,0.45
514,0.42
515,0.69
516,0.75
517,0.56
518,0.64
519,0.46
520,0.6
521,0.71
522,0.84
523,0.4
524,0.68
525,0.58
526,0.91
527,0.83
528,0.75
529,0.57
530,0.95
531,0.43
532,0.47
533,0.63
534,0.47
535,0.97
536,0.88
537,0.56
538,0.75
539,0.99
540,0.93
541,0.76
542,0.94
543,0.99
544,0.85
545,0.44
546,0.64
547,0.9
548,0.54
549,0.9
550,0.47
551,0.43
552,0.63
553,0.42
554,0.97
555,0.9
556,0.88
557,0.78
558,0.53
559,0.71
560,0.76
561,0.72
562,0.56
563,0.71
564,0.69
565,1
566,0.94
567,0.68
568,0.77
569,0.85
570,0.42
571,0.94
572,0.92
573,0.67
574,0.63
575,0.56
576,0.69
577,0.43
578,0.91
579,0.42
580,0.6
581,0.96
582,0.84
583,0.57
584,0.55
585,0.4
586,0.82
587,0.43
588,0.72
589,0.98
590,0.47
591,0.94
592,0.99
593,0.44
594,0.93
595,0.71
596,0.94
597,0.74
598,0.8
599,0.73
600,0.92
601,0.84
602,0.71
603,0.92
604,0.55
605,0.49
606,0.5
607,0.6
608,0.54
609,0.96
610,0.46
611,0.82
612,0.51
613,0.93
614,0.98
615,0.68
616,0.93
617,0.4
618,0.89
619,0.54
620,0.95
621,0.4
622,0.73
623,0.85
624,0.56
625,0.52
626,0.45
627,0.6
628,0.74
629,0.47
630,0.63
631,0.41
632,0.89
633,0.48
634,0.57
635,0.41
636,0.66
637,0.9
638,0.64
639,0.51
640,0.85
641,0.87
642,0.5
643,0.86
644,0.97
645,0.5
646,0.86
647,0.83
648,0.68
649,0.43
650,0.44
651,0.91
652,0.99
653,0.81
654,0.67
655,0.79
656,0.76
657,0.63
658,0.44
659,0.89
660,0.62
661,0.89
662,0.55
663,0.4
664,0.5
665,0.68
666,0.97
667,0.46
668,0.91
669,0.72
670,0.9
671,0.58
672,0.9
673,0.86
674,0.54
